date,goldman sachs
2010-01-01,20
2010-01-02,25
2010-01-03,25
2010-01-04,49
2010-01-05,39
2010-01-06,34
2010-01-07,53
2010-01-08,48
2010-01-09,31
2010-01-10,36
2010-01-11,63
2010-01-12,62
2010-01-13,60
2010-01-14,49
2010-01-15,37
2010-01-16,52
2010-01-17,20
2010-01-18,27
2010-01-19,43
2010-01-20,56
2010-01-21,91
2010-01-22,100
2010-01-23,46
2010-01-24,35
2010-01-25,63
2010-01-26,71
2010-01-27,77
2010-01-28,35
2010-01-29,56
2010-01-30,34
2010-01-31,11
2010-02-01,74
2010-02-02,60
2010-02-03,84
2010-02-04,65
2010-02-05,68
2010-02-06,75
2010-02-07,89
2010-02-08,54
2010-02-09,52
2010-02-10,100
2010-02-11,28
2010-02-12,66
2010-02-13,84
2010-02-14,50
2010-02-15,88
2010-02-16,93
2010-02-17,66
2010-02-18,75
2010-02-19,61
2010-02-20,24
2010-02-21,71
2010-02-22,61
2010-02-23,58
2010-02-24,91
2010-02-25,80
2010-02-26,55
2010-02-27,29
2010-02-28,30
2010-03-01,74
2010-03-02,73
2010-03-03,77
2010-03-04,44
2010-03-05,100
2010-03-06,65
2010-03-07,42
2010-03-08,56
2010-03-09,51
2010-03-10,66
2010-03-11,55
2010-03-12,86
2010-03-13,34
2010-03-14,17
2010-03-15,63
2010-03-16,76
2010-03-17,49
2010-03-18,54
2010-03-19,35
2010-03-20,37
2010-03-21,29
2010-03-22,66
2010-03-23,42
2010-03-24,51
2010-03-25,74
2010-03-26,63
2010-03-27,12
2010-03-28,29
2010-03-29,39
2010-03-30,70
2010-03-31,45
2010-04-01,13
2010-04-02,8
2010-04-03,6
2010-04-04,2
2010-04-05,8
2010-04-06,5
2010-04-07,12
2010-04-08,12
2010-04-09,11
2010-04-10,1
2010-04-11,2
2010-04-12,9
2010-04-13,8
2010-04-14,8
2010-04-15,9
2010-04-16,98
2010-04-17,55
2010-04-18,35
2010-04-19,67
2010-04-20,85
2010-04-21,100
2010-04-22,47
2010-04-23,29
2010-04-24,18
2010-04-25,18
2010-04-26,34
2010-04-27,95
2010-04-28,70
2010-04-29,24
2010-04-30,41
2010-05-01,70
2010-05-02,95
2010-05-03,100
2010-05-04,94
2010-05-05,58
2010-05-06,69
2010-05-07,93
2010-05-08,35
2010-05-09,24
2010-05-10,63
2010-05-11,62
2010-05-12,55
2010-05-13,49
2010-05-14,55
2010-05-15,32
2010-05-16,16
2010-05-17,43
2010-05-18,37
2010-05-19,58
2010-05-20,42
2010-05-21,22
2010-05-22,32
2010-05-23,28
2010-05-24,34
2010-05-25,33
2010-05-26,47
2010-05-27,21
2010-05-28,44
2010-05-29,21
2010-05-30,9
2010-05-31,19
2010-06-01,55
2010-06-02,100
2010-06-03,51
2010-06-04,94
2010-06-05,70
2010-06-06,19
2010-06-07,68
2010-06-08,83
2010-06-09,84
2010-06-10,79
2010-06-11,75
2010-06-12,39
2010-06-13,13
2010-06-14,60
2010-06-15,72
2010-06-16,48
2010-06-17,53
2010-06-18,52
2010-06-19,27
2010-06-20,14
2010-06-21,61
2010-06-22,54
2010-06-23,55
2010-06-24,44
2010-06-25,84
2010-06-26,32
2010-06-27,53
2010-06-28,47
2010-06-29,38
2010-06-30,77
2010-07-01,65
2010-07-02,38
2010-07-03,22
2010-07-04,23
2010-07-05,35
2010-07-06,36
2010-07-07,43
2010-07-08,51
2010-07-09,34
2010-07-10,45
2010-07-11,21
2010-07-12,79
2010-07-13,46
2010-07-14,50
2010-07-15,100
2010-07-16,93
2010-07-17,36
2010-07-18,31
2010-07-19,68
2010-07-20,85
2010-07-21,43
2010-07-22,44
2010-07-23,46
2010-07-24,25
2010-07-25,5
2010-07-26,40
2010-07-27,64
2010-07-28,58
2010-07-29,47
2010-07-30,62
2010-07-31,15
2010-08-01,84
2010-08-02,74
2010-08-03,67
2010-08-04,34
2010-08-05,79
2010-08-06,62
2010-08-07,48
2010-08-08,21
2010-08-09,63
2010-08-10,76
2010-08-11,68
2010-08-12,49
2010-08-13,93
2010-08-14,41
2010-08-15,48
2010-08-16,59
2010-08-17,67
2010-08-18,48
2010-08-19,50
2010-08-20,31
2010-08-21,27
2010-08-22,46
2010-08-23,48
2010-08-24,56
2010-08-25,100
2010-08-26,63
2010-08-27,30
2010-08-28,13
2010-08-29,20
2010-08-30,24
2010-08-31,69
2010-09-01,55
2010-09-02,40
2010-09-03,55
2010-09-04,22
2010-09-05,12
2010-09-06,36
2010-09-07,59
2010-09-08,43
2010-09-09,66
2010-09-10,37
2010-09-11,27
2010-09-12,47
2010-09-13,99
2010-09-14,69
2010-09-15,81
2010-09-16,43
2010-09-17,58
2010-09-18,33
2010-09-19,43
2010-09-20,78
2010-09-21,62
2010-09-22,100
2010-09-23,65
2010-09-24,90
2010-09-25,16
2010-09-26,26
2010-09-27,68
2010-09-28,75
2010-09-29,65
2010-09-30,65
2010-10-01,50
2010-10-02,19
2010-10-03,28
2010-10-04,27
2010-10-05,40
2010-10-06,62
2010-10-07,92
2010-10-08,69
2010-10-09,29
2010-10-10,69
2010-10-11,85
2010-10-12,32
2010-10-13,93
2010-10-14,40
2010-10-15,50
2010-10-16,24
2010-10-17,19
2010-10-18,44
2010-10-19,100
2010-10-20,79
2010-10-21,71
2010-10-22,46
2010-10-23,38
2010-10-24,32
2010-10-25,52
2010-10-26,60
2010-10-27,66
2010-10-28,49
2010-10-29,64
2010-10-30,24
2010-10-31,14
2010-11-01,56
2010-11-02,56
2010-11-03,67
2010-11-04,71
2010-11-05,71
2010-11-06,56
2010-11-07,40
2010-11-08,55
2010-11-09,49
2010-11-10,80
2010-11-11,84
2010-11-12,72
2010-11-13,46
2010-11-14,35
2010-11-15,75
2010-11-16,80
2010-11-17,71
2010-11-18,100
2010-11-19,76
2010-11-20,25
2010-11-21,25
2010-11-22,64
2010-11-23,61
2010-11-24,23
2010-11-25,46
2010-11-26,38
2010-11-27,35
2010-11-28,30
2010-11-29,55
2010-11-30,55
2010-12-01,69
2010-12-02,60
2010-12-03,33
2010-12-04,38
2010-12-05,24
2010-12-06,59
2010-12-07,49
2010-12-08,64
2010-12-09,70
2010-12-10,55
2010-12-11,63
2010-12-12,72
2010-12-13,70
2010-12-14,90
2010-12-15,100
2010-12-16,88
2010-12-17,73
2010-12-18,70
2010-12-19,36
2010-12-20,38
2010-12-21,49
2010-12-22,60
2010-12-23,52
2010-12-24,32
2010-12-25,13
2010-12-26,22
2010-12-27,46
2010-12-28,37
2010-12-29,57
2010-12-30,54
2010-12-31,33
2011-01-01,16
2011-01-02,13
2011-01-03,76
2011-01-04,65
2011-01-05,47
2011-01-06,70
2011-01-07,82
2011-01-08,18
2011-01-09,30
2011-01-10,49
2011-01-11,75
2011-01-12,62
2011-01-13,67
2011-01-14,57
2011-01-15,33
2011-01-16,21
2011-01-17,46
2011-01-18,67
2011-01-19,100
2011-01-20,76
2011-01-21,47
2011-01-22,35
2011-01-23,41
2011-01-24,60
2011-01-25,36
2011-01-26,54
2011-01-27,64
2011-01-28,36
2011-01-29,37
2011-01-30,26
2011-01-31,58
2011-02-01,95
2011-02-02,77
2011-02-03,95
2011-02-04,46
2011-02-05,30
2011-02-06,62
2011-02-07,66
2011-02-08,81
2011-02-09,76
2011-02-10,56
2011-02-11,62
2011-02-12,50
2011-02-13,37
2011-02-14,67
2011-02-15,71
2011-02-16,100
2011-02-17,82
2011-02-18,51
2011-02-19,36
2011-02-20,18
2011-02-21,59
2011-02-22,80
2011-02-23,87
2011-02-24,75
2011-02-25,75
2011-02-26,45
2011-02-27,36
2011-02-28,87
2011-03-01,88
2011-03-02,64
2011-03-03,100
2011-03-04,95
2011-03-05,37
2011-03-06,37
2011-03-07,68
2011-03-08,99
2011-03-09,71
2011-03-10,75
2011-03-11,75
2011-03-12,45
2011-03-13,20
2011-03-14,44
2011-03-15,68
2011-03-16,82
2011-03-17,66
2011-03-18,59
2011-03-19,19
2011-03-20,28
2011-03-21,68
2011-03-22,47
2011-03-23,68
2011-03-24,71
2011-03-25,75
2011-03-26,55
2011-03-27,18
2011-03-28,81
2011-03-29,73
2011-03-30,60
2011-03-31,67
2011-04-01,72
2011-04-02,52
2011-04-03,28
2011-04-04,39
2011-04-05,63
2011-04-06,46
2011-04-07,67
2011-04-08,66
2011-04-09,32
2011-04-10,20
2011-04-11,36
2011-04-12,59
2011-04-13,94
2011-04-14,99
2011-04-15,63
2011-04-16,44
2011-04-17,45
2011-04-18,63
2011-04-19,100
2011-04-20,49
2011-04-21,49
2011-04-22,57
2011-04-23,28
2011-04-24,47
2011-04-25,70
2011-04-26,56
2011-04-27,59
2011-04-28,44
2011-04-29,50
2011-04-30,36
2011-05-01,36
2011-05-02,72
2011-05-03,36
2011-05-04,73
2011-05-05,83
2011-05-06,69
2011-05-07,27
2011-05-08,28
2011-05-09,61
2011-05-10,93
2011-05-11,57
2011-05-12,72
2011-05-13,89
2011-05-14,49
2011-05-15,22
2011-05-16,77
2011-05-17,100
2011-05-18,70
2011-05-19,52
2011-05-20,56
2011-05-21,32
2011-05-22,46
2011-05-23,51
2011-05-24,87
2011-05-25,90
2011-05-26,70
2011-05-27,75
2011-05-28,38
2011-05-29,50
2011-05-30,27
2011-05-31,73
2011-06-01,96
2011-06-02,100
2011-06-03,83
2011-06-04,48
2011-06-05,19
2011-06-06,47
2011-06-07,67
2011-06-08,61
2011-06-09,56
2011-06-10,58
2011-06-11,40
2011-06-12,26
2011-06-13,34
2011-06-14,36
2011-06-15,47
2011-06-16,61
2011-06-17,52
2011-06-18,37
2011-06-19,15
2011-06-20,32
2011-06-21,62
2011-06-22,41
2011-06-23,44
2011-06-24,46
2011-06-25,26
2011-06-26,41
2011-06-27,58
2011-06-28,74
2011-06-29,61
2011-06-30,60
2011-07-01,68
2011-07-02,35
2011-07-03,18
2011-07-04,38
2011-07-05,33
2011-07-06,62
2011-07-07,37
2011-07-08,80
2011-07-09,33
2011-07-10,29
2011-07-11,34
2011-07-12,55
2011-07-13,74
2011-07-14,53
2011-07-15,66
2011-07-16,33
2011-07-17,34
2011-07-18,68
2011-07-19,100
2011-07-20,92
2011-07-21,66
2011-07-22,67
2011-07-23,23
2011-07-24,48
2011-07-25,36
2011-07-26,45
2011-07-27,76
2011-07-28,62
2011-07-29,57
2011-07-30,32
2011-07-31,53
2011-08-01,48
2011-08-02,100
2011-08-03,55
2011-08-04,42
2011-08-05,47
2011-08-06,31
2011-08-07,36
2011-08-08,61
2011-08-09,60
2011-08-10,73
2011-08-11,67
2011-08-12,55
2011-08-13,27
2011-08-14,31
2011-08-15,38
2011-08-16,85
2011-08-17,70
2011-08-18,63
2011-08-19,76
2011-08-20,48
2011-08-21,44
2011-08-22,79
2011-08-23,53
2011-08-24,61
2011-08-25,74
2011-08-26,38
2011-08-27,25
2011-08-28,34
2011-08-29,61
2011-08-30,70
2011-08-31,37
2011-09-01,45
2011-09-02,28
2011-09-03,14
2011-09-04,12
2011-09-05,37
2011-09-06,63
2011-09-07,34
2011-09-08,39
2011-09-09,32
2011-09-10,22
2011-09-11,25
2011-09-12,41
2011-09-13,34
2011-09-14,54
2011-09-15,39
2011-09-16,48
2011-09-17,31
2011-09-18,27
2011-09-19,45
2011-09-20,47
2011-09-21,32
2011-09-22,52
2011-09-23,27
2011-09-24,22
2011-09-25,27
2011-09-26,53
2011-09-27,74
2011-09-28,100
2011-09-29,77
2011-09-30,66
2011-10-01,48
2011-10-02,48
2011-10-03,54
2011-10-04,79
2011-10-05,80
2011-10-06,51
2011-10-07,73
2011-10-08,35
2011-10-09,27
2011-10-10,54
2011-10-11,65
2011-10-12,52
2011-10-13,56
2011-10-14,81
2011-10-15,21
2011-10-16,40
2011-10-17,79
2011-10-18,100
2011-10-19,81
2011-10-20,45
2011-10-21,59
2011-10-22,46
2011-10-23,37
2011-10-24,44
2011-10-25,70
2011-10-26,84
2011-10-27,71
2011-10-28,31
2011-10-29,40
2011-10-30,27
2011-10-31,52
2011-11-01,76
2011-11-02,75
2011-11-03,90
2011-11-04,63
2011-11-05,61
2011-11-06,30
2011-11-07,72
2011-11-08,59
2011-11-09,68
2011-11-10,87
2011-11-11,82
2011-11-12,34
2011-11-13,60
2011-11-14,63
2011-11-15,50
2011-11-16,61
2011-11-17,78
2011-11-18,46
2011-11-19,38
2011-11-20,56
2011-11-21,62
2011-11-22,54
2011-11-23,51
2011-11-24,20
2011-11-25,74
2011-11-26,27
2011-11-27,40
2011-11-28,51
2011-11-29,72
2011-11-30,100
2011-12-01,42
2011-12-02,48
2011-12-03,49
2011-12-04,32
2011-12-05,65
2011-12-06,91
2011-12-07,83
2011-12-08,100
2011-12-09,86
2011-12-10,20
2011-12-11,36
2011-12-12,83
2011-12-13,87
2011-12-14,87
2011-12-15,63
2011-12-16,51
2011-12-17,41
2011-12-18,46
2011-12-19,40
2011-12-20,70
2011-12-21,76
2011-12-22,32
2011-12-23,42
2011-12-24,32
2011-12-25,15
2011-12-26,46
2011-12-27,49
2011-12-28,31
2011-12-29,53
2011-12-30,44
2011-12-31,32
2012-01-01,21
2012-01-02,28
2012-01-03,43
2012-01-04,40
2012-01-05,65
2012-01-06,69
2012-01-07,40
2012-01-08,18
2012-01-09,76
2012-01-10,60
2012-01-11,86
2012-01-12,77
2012-01-13,93
2012-01-14,30
2012-01-15,30
2012-01-16,55
2012-01-17,63
2012-01-18,100
2012-01-19,70
2012-01-20,51
2012-01-21,35
2012-01-22,32
2012-01-23,77
2012-01-24,40
2012-01-25,95
2012-01-26,54
2012-01-27,72
2012-01-28,38
2012-01-29,62
2012-01-30,55
2012-01-31,64
2012-02-01,73
2012-02-02,74
2012-02-03,62
2012-02-04,29
2012-02-05,48
2012-02-06,34
2012-02-07,60
2012-02-08,92
2012-02-09,65
2012-02-10,47
2012-02-11,35
2012-02-12,54
2012-02-13,53
2012-02-14,89
2012-02-15,62
2012-02-16,100
2012-02-17,55
2012-02-18,36
2012-02-19,46
2012-02-20,35
2012-02-21,68
2012-02-22,75
2012-02-23,79
2012-02-24,75
2012-02-25,33
2012-02-26,30
2012-02-27,62
2012-02-28,72
2012-02-29,59
2012-03-01,7
2012-03-02,8
2012-03-03,3
2012-03-04,9
2012-03-05,10
2012-03-06,8
2012-03-07,9
2012-03-08,8
2012-03-09,6
2012-03-10,3
2012-03-11,6
2012-03-12,9
2012-03-13,7
2012-03-14,100
2012-03-15,93
2012-03-16,37
2012-03-17,23
2012-03-18,18
2012-03-19,18
2012-03-20,17
2012-03-21,13
2012-03-22,15
2012-03-23,10
2012-03-24,7
2012-03-25,7
2012-03-26,11
2012-03-27,12
2012-03-28,13
2012-03-29,11
2012-03-30,9
2012-03-31,3
2012-04-01,44
2012-04-02,58
2012-04-03,73
2012-04-04,75
2012-04-05,56
2012-04-06,30
2012-04-07,36
2012-04-08,37
2012-04-09,39
2012-04-10,67
2012-04-11,57
2012-04-12,24
2012-04-13,73
2012-04-14,17
2012-04-15,34
2012-04-16,64
2012-04-17,100
2012-04-18,42
2012-04-19,74
2012-04-20,51
2012-04-21,27
2012-04-22,23
2012-04-23,70
2012-04-24,72
2012-04-25,40
2012-04-26,45
2012-04-27,36
2012-04-28,40
2012-04-29,41
2012-04-30,59
2012-05-01,71
2012-05-02,75
2012-05-03,44
2012-05-04,42
2012-05-05,47
2012-05-06,37
2012-05-07,80
2012-05-08,91
2012-05-09,57
2012-05-10,66
2012-05-11,81
2012-05-12,78
2012-05-13,15
2012-05-14,87
2012-05-15,100
2012-05-16,62
2012-05-17,52
2012-05-18,98
2012-05-19,43
2012-05-20,53
2012-05-21,75
2012-05-22,61
2012-05-23,91
2012-05-24,90
2012-05-25,68
2012-05-26,44
2012-05-27,31
2012-05-28,46
2012-05-29,77
2012-05-30,61
2012-05-31,77
2012-06-01,46
2012-06-02,39
2012-06-03,39
2012-06-04,67
2012-06-05,88
2012-06-06,65
2012-06-07,77
2012-06-08,65
2012-06-09,49
2012-06-10,22
2012-06-11,68
2012-06-12,91
2012-06-13,100
2012-06-14,88
2012-06-15,58
2012-06-16,50
2012-06-17,46
2012-06-18,83
2012-06-19,69
2012-06-20,80
2012-06-21,81
2012-06-22,72
2012-06-23,71
2012-06-24,23
2012-06-25,59
2012-06-26,72
2012-06-27,59
2012-06-28,70
2012-06-29,96
2012-06-30,35
2012-07-01,24
2012-07-02,48
2012-07-03,64
2012-07-04,51
2012-07-05,41
2012-07-06,66
2012-07-07,51
2012-07-08,16
2012-07-09,62
2012-07-10,55
2012-07-11,54
2012-07-12,41
2012-07-13,75
2012-07-14,36
2012-07-15,47
2012-07-16,100
2012-07-17,92
2012-07-18,100
2012-07-19,47
2012-07-20,52
2012-07-21,12
2012-07-22,56
2012-07-23,66
2012-07-24,61
2012-07-25,68
2012-07-26,72
2012-07-27,38
2012-07-28,15
2012-07-29,32
2012-07-30,46
2012-07-31,91
2012-08-01,55
2012-08-02,47
2012-08-03,68
2012-08-04,33
2012-08-05,33
2012-08-06,52
2012-08-07,61
2012-08-08,49
2012-08-09,65
2012-08-10,100
2012-08-11,33
2012-08-12,44
2012-08-13,40
2012-08-14,63
2012-08-15,38
2012-08-16,56
2012-08-17,43
2012-08-18,37
2012-08-19,26
2012-08-20,59
2012-08-21,72
2012-08-22,64
2012-08-23,42
2012-08-24,61
2012-08-25,32
2012-08-26,25
2012-08-27,42
2012-08-28,54
2012-08-29,52
2012-08-30,55
2012-08-31,48
2012-09-01,34
2012-09-02,31
2012-09-03,51
2012-09-04,66
2012-09-05,77
2012-09-06,54
2012-09-07,56
2012-09-08,29
2012-09-09,50
2012-09-10,77
2012-09-11,94
2012-09-12,90
2012-09-13,74
2012-09-14,100
2012-09-15,46
2012-09-16,33
2012-09-17,53
2012-09-18,68
2012-09-19,67
2012-09-20,75
2012-09-21,66
2012-09-22,25
2012-09-23,53
2012-09-24,67
2012-09-25,66
2012-09-26,66
2012-09-27,67
2012-09-28,59
2012-09-29,74
2012-09-30,33
2012-10-01,37
2012-10-02,36
2012-10-03,42
2012-10-04,33
2012-10-05,29
2012-10-06,16
2012-10-07,14
2012-10-08,21
2012-10-09,35
2012-10-10,28
2012-10-11,35
2012-10-12,24
2012-10-13,28
2012-10-14,17
2012-10-15,27
2012-10-16,44
2012-10-17,33
2012-10-18,30
2012-10-19,32
2012-10-20,16
2012-10-21,22
2012-10-22,100
2012-10-23,51
2012-10-24,47
2012-10-25,39
2012-10-26,34
2012-10-27,17
2012-10-28,11
2012-10-29,26
2012-10-30,42
2012-10-31,40
2012-11-01,72
2012-11-02,73
2012-11-03,31
2012-11-04,31
2012-11-05,66
2012-11-06,53
2012-11-07,88
2012-11-08,52
2012-11-09,61
2012-11-10,63
2012-11-11,46
2012-11-12,61
2012-11-13,62
2012-11-14,87
2012-11-15,100
2012-11-16,62
2012-11-17,58
2012-11-18,43
2012-11-19,52
2012-11-20,62
2012-11-21,72
2012-11-22,29
2012-11-23,44
2012-11-24,40
2012-11-25,39
2012-11-26,37
2012-11-27,80
2012-11-28,66
2012-11-29,56
2012-11-30,72
2012-12-01,34
2012-12-02,42
2012-12-03,75
2012-12-04,73
2012-12-05,77
2012-12-06,72
2012-12-07,46
2012-12-08,50
2012-12-09,45
2012-12-10,80
2012-12-11,68
2012-12-12,88
2012-12-13,85
2012-12-14,100
2012-12-15,31
2012-12-16,31
2012-12-17,38
2012-12-18,92
2012-12-19,81
2012-12-20,63
2012-12-21,41
2012-12-22,45
2012-12-23,38
2012-12-24,28
2012-12-25,27
2012-12-26,58
2012-12-27,41
2012-12-28,35
2012-12-29,35
2012-12-30,31
2012-12-31,24
2013-01-01,18
2013-01-02,65
2013-01-03,37
2013-01-04,61
2013-01-05,38
2013-01-06,22
2013-01-07,65
2013-01-08,55
2013-01-09,63
2013-01-10,61
2013-01-11,59
2013-01-12,24
2013-01-13,34
2013-01-14,38
2013-01-15,42
2013-01-16,100
2013-01-17,71
2013-01-18,65
2013-01-19,46
2013-01-20,36
2013-01-21,33
2013-01-22,54
2013-01-23,55
2013-01-24,44
2013-01-25,65
2013-01-26,13
2013-01-27,45
2013-01-28,56
2013-01-29,39
2013-01-30,78
2013-01-31,85
2013-02-01,67
2013-02-02,33
2013-02-03,50
2013-02-04,54
2013-02-05,89
2013-02-06,80
2013-02-07,84
2013-02-08,69
2013-02-09,50
2013-02-10,37
2013-02-11,72
2013-02-12,100
2013-02-13,56
2013-02-14,59
2013-02-15,63
2013-02-16,44
2013-02-17,26
2013-02-18,49
2013-02-19,76
2013-02-20,64
2013-02-21,80
2013-02-22,51
2013-02-23,43
2013-02-24,39
2013-02-25,72
2013-02-26,67
2013-02-27,59
2013-02-28,65
2013-03-01,60
2013-03-02,35
2013-03-03,67
2013-03-04,69
2013-03-05,51
2013-03-06,57
2013-03-07,81
2013-03-08,79
2013-03-09,40
2013-03-10,28
2013-03-11,81
2013-03-12,70
2013-03-13,100
2013-03-14,66
2013-03-15,62
2013-03-16,39
2013-03-17,28
2013-03-18,57
2013-03-19,100
2013-03-20,48
2013-03-21,58
2013-03-22,81
2013-03-23,60
2013-03-24,47
2013-03-25,61
2013-03-26,76
2013-03-27,96
2013-03-28,44
2013-03-29,50
2013-03-30,38
2013-03-31,38
2013-04-01,42
2013-04-02,62
2013-04-03,68
2013-04-04,58
2013-04-05,56
2013-04-06,38
2013-04-07,30
2013-04-08,53
2013-04-09,73
2013-04-10,73
2013-04-11,66
2013-04-12,71
2013-04-13,41
2013-04-14,33
2013-04-15,71
2013-04-16,99
2013-04-17,59
2013-04-18,91
2013-04-19,42
2013-04-20,30
2013-04-21,52
2013-04-22,66
2013-04-23,56
2013-04-24,68
2013-04-25,67
2013-04-26,66
2013-04-27,42
2013-04-28,37
2013-04-29,70
2013-04-30,100
2013-05-01,100
2013-05-02,89
2013-05-03,63
2013-05-04,40
2013-05-05,27
2013-05-06,67
2013-05-07,67
2013-05-08,74
2013-05-09,82
2013-05-10,56
2013-05-11,67
2013-05-12,55
2013-05-13,90
2013-05-14,82
2013-05-15,68
2013-05-16,72
2013-05-17,86
2013-05-18,23
2013-05-19,27
2013-05-20,57
2013-05-21,84
2013-05-22,75
2013-05-23,47
2013-05-24,57
2013-05-25,33
2013-05-26,29
2013-05-27,22
2013-05-28,57
2013-05-29,42
2013-05-30,46
2013-05-31,79
2013-06-01,63
2013-06-02,33
2013-06-03,40
2013-06-04,61
2013-06-05,53
2013-06-06,83
2013-06-07,55
2013-06-08,54
2013-06-09,64
2013-06-10,56
2013-06-11,95
2013-06-12,100
2013-06-13,87
2013-06-14,67
2013-06-15,43
2013-06-16,43
2013-06-17,47
2013-06-18,79
2013-06-19,70
2013-06-20,48
2013-06-21,49
2013-06-22,34
2013-06-23,25
2013-06-24,48
2013-06-25,46
2013-06-26,70
2013-06-27,48
2013-06-28,77
2013-06-29,46
2013-06-30,25
2013-07-01,44
2013-07-02,65
2013-07-03,41
2013-07-04,20
2013-07-05,41
2013-07-06,40
2013-07-07,13
2013-07-08,51
2013-07-09,64
2013-07-10,39
2013-07-11,61
2013-07-12,56
2013-07-13,44
2013-07-14,38
2013-07-15,89
2013-07-16,87
2013-07-17,88
2013-07-18,82
2013-07-19,46
2013-07-20,32
2013-07-21,36
2013-07-22,43
2013-07-23,59
2013-07-24,72
2013-07-25,71
2013-07-26,100
2013-07-27,58
2013-07-28,52
2013-07-29,54
2013-07-30,64
2013-07-31,72
2013-08-01,51
2013-08-02,45
2013-08-03,28
2013-08-04,23
2013-08-05,43
2013-08-06,48
2013-08-07,73
2013-08-08,51
2013-08-09,62
2013-08-10,38
2013-08-11,26
2013-08-12,41
2013-08-13,44
2013-08-14,41
2013-08-15,43
2013-08-16,34
2013-08-17,23
2013-08-18,28
2013-08-19,41
2013-08-20,55
2013-08-21,49
2013-08-22,74
2013-08-23,100
2013-08-24,45
2013-08-25,32
2013-08-26,59
2013-08-27,48
2013-08-28,61
2013-08-29,59
2013-08-30,44
2013-08-31,19
2013-09-01,37
2013-09-02,31
2013-09-03,45
2013-09-04,36
2013-09-05,39
2013-09-06,47
2013-09-07,42
2013-09-08,37
2013-09-09,57
2013-09-10,73
2013-09-11,78
2013-09-12,100
2013-09-13,76
2013-09-14,27
2013-09-15,26
2013-09-16,78
2013-09-17,73
2013-09-18,84
2013-09-19,75
2013-09-20,70
2013-09-21,15
2013-09-22,44
2013-09-23,65
2013-09-24,82
2013-09-25,59
2013-09-26,69
2013-09-27,96
2013-09-28,52
2013-09-29,48
2013-09-30,41
2013-10-01,68
2013-10-02,66
2013-10-03,62
2013-10-04,62
2013-10-05,37
2013-10-06,49
2013-10-07,49
2013-10-08,42
2013-10-09,88
2013-10-10,92
